"","date","peak","avg","frame","frpeak","merged_date"
"1",2013-01-01,0,0,"Frost",0,"Jan 2013"
"2",2013-01-01,0,0,"Nyx",5000,"Jan 2013"
"3",2013-02-01,1,0,NA,NA,"Feb 2013"
"4",2013-03-01,19099,1960.13,"Saryn",19099,"Mar 2013"
"5",2013-03-01,19099,1960.13,"Banshee",24099,"Mar 2013"
"6",2013-04-01,21157,12329.65,NA,NA,"Apr 2013"
"7",2013-05-01,19734,10338.53,"Vauban",19734,"May 2013"
"8",2013-05-01,19734,10338.53,"Frost Prime",24734,"May 2013"
"9",2013-06-01,19554,10774.41,NA,NA,"Jun 2013"
"10",2013-07-01,15714,9605.6,"Nova",15714,"Jul 2013"
"11",2013-08-01,14349,8831.78,NA,NA,"Aug 2013"
"12",2013-09-01,18941,9716.62,"Nekros",18941,"Sep 2013"
"13",2013-09-01,18941,9716.62,"Mag Prime",23941,"Sep 2013"
"14",2013-10-01,16381,8937.68,NA,NA,"Oct 2013"
"15",2013-11-01,18459,9220.75,"Ember Prime",18459,"Nov 2013"
"16",2013-11-01,18459,9220.75,"Valkyr",23459,"Nov 2013"
"17",2013-12-01,18274,11115.69,"Oberon",18274,"Dec 2013"
"18",2014-01-01,16929,11660.84,NA,NA,"Jan 2014"
"19",2014-02-01,21380,13652.84,"Zephyr",21380,"Feb 2014"
"20",2014-03-01,21193,12379,"Rhino Prime",21193,"Mar 2014"
"21",2014-04-01,26848,14372.52,"Hydroid",26848,"Apr 2014"
"22",2014-05-01,19536,11609.02,NA,NA,"May 2014"
"23",2014-06-01,19939,12148.9,"Loki Prime",19939,"Jun 2014"
"24",2014-07-01,31766,15222.36,"Mirage",31766,"Jul 2014"
"25",2014-08-01,28233,16466.05,NA,NA,"Aug 2014"
"26",2014-09-01,25841,15803.16,"Nyx Prime",25841,"Sep 2014"
"27",2014-10-01,34785,15736.98,"Limbo",34785,"Oct 2014"
"28",2014-11-01,32800,16896.78,"Mesa",32800,"Nov 2014"
"29",2014-12-01,29349,19376.33,"Nova Prime",29349,"Dec 2014"
"30",2015-01-01,28400,17919.54,NA,NA,"Jan 2015"
"31",2015-02-01,28376,18378.74,NA,NA,"Feb 2015"
"32",2015-03-01,42816,21233.34,"Volt Prime",42816,"Mar 2015"
"33",2015-03-01,42816,21233.34,"Chroma",47816,"Mar 2015"
"34",2015-04-01,40497,22097.66,NA,NA,"Apr 2015"
"35",2015-05-01,37595,20930.54,NA,NA,"May 2015"
"36",2015-06-01,29209,18366.27,NA,NA,"Jun 2015"
"37",2015-07-01,49829,19936.29,"Equinox",49829,"Jul 2015"
"38",2015-07-01,49829,19936.29,"Ash Prime",54829,"Jul 2015"
"39",2015-08-01,44908,29160.01,NA,NA,"Aug 2015"
"40",2015-09-01,38904,22067.78,NA,NA,"Sep 2015"
"41",2015-10-01,48901,27713.64,"Trinity Prime",48901,"Oct 2015"
"42",2015-10-01,48901,27713.64,"Atlas",53901,"Oct 2015"
"43",2015-11-01,37303,21333.4,"Wukong",37303,"Nov 2015"
"44",2015-12-01,58502,33253.8,"Ivara",58502,"Dec 2015"
"45",2015-12-01,58502,33253.8,"Nezha",63502,"Dec 2015"
"46",2016-01-01,50177,30709.56,NA,NA,"Jan 2016"
"47",2016-02-01,49683,31909.25,"Saryn Prime",49683,"Feb 2016"
"48",2016-03-01,66308,33747.55,"Inaros",66308,"Mar 2016"
"49",2016-04-01,47242,27145.55,NA,NA,"Apr 2016"
"50",2016-05-01,44091,26597.98,"Vauban Prime",44091,"May 2016"
"51",2016-06-01,41739,26326.93,NA,NA,"Jun 2016"
"52",2016-07-01,61417,28526.17,NA,NA,"Jul 2016"
"53",2016-08-01,46268,26548.41,"Nekros Prime",46268,"Aug 2016"
"54",2016-08-01,46268,26548.41,"Titania",51268,"Aug 2016"
