"","date","avg","gain","pctgain","peak"
"1","Month","Avg. Players","Gain","% Gain","Peak Players"
"2","Last 30 Days","53370.00","+5014.9","+10.37%","115322"
"3","
					April 2023
				","48355.07","7648.58","+18.79%","115322"
"4","
					March 2023
				","40706.49","-1223.89","-2.92%","63635"
"5","
					February 2023
				","41930.39","1259.47","+3.10%","59850"
"6","
					January 2023
				","40670.91","1568.74","+4.01%","58816"
"7","
					December 2022
				","39102.17","9133.81","+30.48%","64073"
"8","
					November 2022
				","29968.36","-4134.22","-12.12%","58261"
"9","
					October 2022
				","34102.58","-5668.90","-14.25%","55500"
"10","
					September 2022
				","39771.48","2189.87","+5.83%","77239"
"11","
					August 2022
				","37581.61","-2184.06","-5.49%","58478"
"12","
					July 2022
				","39765.67","2418.25","+6.48%","91910"
"13","
					June 2022
				","37347.42","-8875.02","-19.20%","68207"
"14","
					May 2022
				","46222.44","2989.71","+6.92%","84285"
"15","
					April 2022
				","43232.73","12172.10","+39.19%","87532"
"16","
					March 2022
				","31060.63","-3977.32","-11.35%","62134"
"17","
					February 2022
				","35037.94","-12357.30","-26.07%","57905"
"18","
					January 2022
				","47395.24","-7255.95","-13.28%","77400"
"19","
					December 2021
				","54651.19","13875.07","+34.03%","118297"
"20","
					November 2021
				","40776.13","909.77","+2.28%","73093"
"21","
					October 2021
				","39866.36","-7101.99","-15.12%","71407"
"22","
					September 2021
				","46968.35","-3785.16","-7.46%","82680"
"23","
					August 2021
				","50753.51","-861.27","-1.67%","74329"
"24","
					July 2021
				","51614.78","11992.53","+30.27%","181509"
"25","
					June 2021
				","39622.26","-7061.59","-15.13%","69028"
"26","
					May 2021
				","46683.85","267.46","+0.58%","77193"
"27","
					April 2021
				","46416.38","3464.79","+8.07%","79251"
"28","
					March 2021
				","42951.59","3741.63","+9.54%","83221"
"29","
					February 2021
				","39209.96","3085.81","+8.54%","61032"
"30","
					January 2021
				","36124.14","134.09","+0.37%","60019"
"31","
					December 2020
				","35990.05","-3923.97","-9.83%","70305"
"32","
					November 2020
				","39914.02","-1384.76","-3.35%","68553"
"33","
					October 2020
				","41298.79","-15032.09","-26.69%","69891"
"34","
					September 2020
				","56330.88","-3298.15","-5.53%","90316"
"35","
					August 2020
				","59629.02","20243.88","+51.40%","154246"
"36","
					July 2020
				","39385.15","-5445.20","-12.15%","58719"
"37","
					June 2020
				","44830.35","-4856.71","-9.77%","81798"
"38","
					May 2020
				","49687.06","-6631.71","-11.78%","76165"
